SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 4137, process 90, arrives at cpu.
At time 4149, process 90, exits the cpu.
At time 4149, process 90, arrives at disk1.
At time 4189, process 21, exits the network.
At time 4189, process 21, arrives at cpu.
At time 4189, process 27, arrives at network.
At time 4196, process 91, arrival.
At time 4201, process 90, exits the disk1.
At time 4232, process 21, exits the cpu.
At time 4232, process 91, arrives at cpu.
At time 4249, process 92, arrival.
At time 4253, process 91, exits the cpu.
At time 4253, process 91, exits the SYSTEM.
At time 4253, process 90, arrives at cpu.
At time 4297, process 90, exits the cpu.
At time 4297, process 90, exits the SYSTEM.
At time 4297, process 92, arrives at cpu.
At time 4308, process 92, exits the cpu.
At time 4324, process 93, arrival.
At time 4324, process 93, arrives at cpu.
At time 4337, process 93, exits the cpu.
At time 4337, process 93, exits the SYSTEM.
At time 4351, process 94, arrival.
At time 4351, process 94, arrives at cpu.
At time 4356, process 94, exits the cpu.
At time 4356, process 94, arrives at disk1.
At time 4410, process 95, arrival.
At time 4410, process 95, arrives at cpu.
At time 4443, process 94, exits the disk1.
At time 4448, process 96, arrival.
At time 4454, process 95, exits the cpu.
At time 4454, process 94, arrives at cpu.
At time 4482, process 94, exits the cpu.
At time 4482, process 94, exits the SYSTEM.
At time 4482, process 96, arrives at cpu.
At time 4508, process 97, arrival.
At time 4526, process 96, exits the cpu.
At time 4526, process 97, arrives at cpu.
At time 4546, process 97, exits the cpu.
At time 4546, process 97, exits the SYSTEM.
At time 4574, process 98, arrival.
At time 4574, process 98, arrives at cpu.
At time 4599, process 98, exits the cpu.
At time 4599, process 98, exits the SYSTEM.
At time 4619, process 99, arrival.
At time 4619, process 99, arrives at cpu.
At time 4636, process 99, exits the cpu.
At time 4636, process 99, exits the SYSTEM.
At time 4648, process 27, exits the network.
At time 4648, process 27, arrives at cpu.
At time 4648, process 28, arrives at network.
At time 4658, process 100, arrival.
At time 4672, process 27, exits the cpu.
At time 4672, process 27, exits the SYSTEM.
At time 4672, process 100, arrives at cpu.
At time 4683, process 101, arrival.
At time 4711, process 100, exits the cpu.
At time 4711, process 100, exits the SYSTEM.
At time 4711, process 101, arrives at cpu.
At time 4712, process 102, arrival.
At time 4738, process 101, exits the cpu.
At time 4738, process 102, arrives at cpu.
At time 4774, process 103, arrival.
At time 4782, process 102, exits the cpu.
At time 4782, process 102, arrives at disk1.
At time 4782, process 103, arrives at cpu.
At time 4803, process 104, arrival.
At time 4816, process 103, exits the cpu.
At time 4816, process 103, exits the SYSTEM.
At time 4816, process 104, arrives at cpu.
At time 4838, process 104, exits the cpu.
At time 4838, process 104, exits the SYSTEM.
At time 4846, process 105, arrival.
At time 4846, process 105, arrives at cpu.
At time 4854, process 105, exits the cpu.
At time 4897, process 106, arrival.
At time 4897, process 106, arrives at cpu.
At time 4923, process 106, exits the cpu.
At time 4923, process 106, arrives at disk2.
At time 4933, process 102, exits the disk1.
At time 4933, process 102, arrives at cpu.
At time 4946, process 107, arrival.
At time 4967, process 102, exits the cpu.
At time 4967, process 102, exits the SYSTEM.
At time 4967, process 107, arrives at cpu.
At time 4984, process 108, arrival.
At time 5009, process 28, exits the network.
At time 5009, process 31, arrives at network.
At time 5010, process 107, exits the cpu.
At time 5010, process 107, exits the SYSTEM.
At time 5010, process 108, arrives at cpu.
At time 5016, process 108, exits the cpu.
At time 5016, process 28, arrives at cpu.
At time 5024, process 109, arrival.
At time 5025, process 28, exits the cpu.
At time 5025, process 28, arrives at disk1.
At time 5025, process 109, arrives at cpu.
At time 5038, process 109, exits the cpu.
At time 5046, process 110, arrival.
At time 5046, process 110, arrives at cpu.
At time 5053, process 106, exits the disk2.
At time 5075, process 111, arrival.
At time 5095, process 110, exits the cpu.
At time 5095, process 110, exits the SYSTEM.
At time 5095, process 106, arrives at cpu.
At time 5120, process 112, arrival.
At time 5126, process 106, exits the cpu.
At time 5126, process 111, arrives at cpu.
At time 5153, process 111, exits the cpu.
At time 5153, process 111, arrives at disk2.
At time 5153, process 112, arrives at cpu.
At time 5169, process 113, arrival.
At time 5178, process 112, exits the cpu.
At time 5178, process 113, arrives at cpu.
At time 5214, process 28, exits the disk1.
At time 5216, process 111, exits the disk2.
At time 5226, process 113, exits the cpu.
At time 5226, process 113, exits the SYSTEM.
At time 5226, process 28, arrives at cpu.
At time 5228, process 114, arrival.
At time 5256, process 28, exits the cpu.
At time 5256, process 111, arrives at cpu.
At time 5284, process 111, exits the cpu.
At time 5284, process 111, arrives at disk1.
At time 5284, process 114, arrives at cpu.
At time 5285, process 115, arrival.
At time 5306, process 114, exits the cpu.
At time 5306, process 114, exits the SYSTEM.
At time 5306, process 115, arrives at cpu.
At time 5313, process 115, exits the cpu.
At time 5357, process 31, exits the network.
At time 5357, process 31, arrives at cpu.
At time 5357, process 33, arrives at network.
At time 5359, process 116, arrival.
At time 5362, process 31, exits the cpu.
At time 5362, process 31, exits the SYSTEM.
At time 5362, process 116, arrives at cpu.
At time 5379, process 116, exits the cpu.
At time 5379, process 116, arrives at disk2.
At time 5392, process 111, exits the disk1.
At time 5392, process 111, arrives at cpu.
At time 5433, process 117, arrival.
At time 5435, process 111, exits the cpu.
At time 5435, process 111, arrives at disk1.
At time 5435, process 117, arrives at cpu.
At time 5445, process 117, exits the cpu.
At time 5454, process 118, arrival.
At time 5454, process 118, arrives at cpu.
At time 5497, process 119, arrival.
At time 5499, process 118, exits the cpu.
At time 5499, process 118, exits the SYSTEM.
At time 5499, process 119, arrives at cpu.
At time 5510, process 119, exits the cpu.
At time 5510, process 119, exits the SYSTEM.
At time 5538, process 120, arrival.
At time 5538, process 120, arrives at cpu.
At time 5542, process 111, exits the disk1.
At time 5558, process 120, exits the cpu.
At time 5558, process 120, exits the SYSTEM.
At time 5558, process 111, arrives at cpu.
At time 5561, process 116, exits the disk2.
At time 5569, process 111, exits the cpu.
At time 5569, process 116, arrives at cpu.
At time 5583, process 116, exits the cpu.
At time 5583, process 116, exits the SYSTEM.
At time 5606, process 121, arrival.
At time 5606, process 121, arrives at cpu.
At time 5614, process 121, exits the cpu.
At time 5671, process 122, arrival.
At time 5671, process 122, arrives at cpu.
At time 5685, process 122, exits the cpu.
At time 5685, process 122, arrives at disk1.
At time 5736, process 123, arrival.
At time 5736, process 123, arrives at cpu.
At time 5769, process 122, exits the disk1.
At time 5786, process 123, exits the cpu.
At time 5786, process 123, arrives at disk1.
At time 5786, process 122, arrives at cpu.
At time 5795, process 122, exits the cpu.
